date,prices_M0,prices_M1,prices_M2,prices_M3,prices_M4,prices_M5,prices_M6,prices_M7,prices_M8,prices_M9,prices_M10,spreads_M0,spreads_M1,spreads_M2,spreads_M3,spreads_M4,spreads_M5,spreads_M6,spreads_M7,spreads_M8,spreads_M9,spreads_M10,oi_M0,oi_M1,oi_M2,oi_M3,oi_M4,oi_M5,oi_M6,oi_M7,oi_M8,oi_M9,oi_M10,volume_M0,volume_M1,volume_M2,volume_M3,volume_M4,volume_M5,volume_M6,volume_M7,volume_M8,volume_M9,volume_M10,label_M0,label_M1,label_M2,label_M3,label_M4,label_M5,label_M6,label_M7,label_M8,label_M9,label_M10
2021-10-27,82.66,81.48,80.09,78.84,77.75,76.79,75.92,75.11,73.68,,,0.0,-1.1799999999999926,-2.569999999999993,-3.819999999999993,-4.909999999999997,-5.86999999999999,-6.739999999999995,-7.549999999999997,-8.97999999999999,,,393620.0,295166.0,107147.0,130126.0,74912.0,57854.0,156468.0,65235.0,73784.0,,,529952.0,142725.0,70508.0,49055.0,24355.0,17531.0,47260.0,15568.0,16113.0,,,Z,F,G,H,J,K,M,N,U,None,None
2021-10-28,82.81,81.46,79.95,78.62,77.49,76.53,75.69,74.91,73.51,,,0.0,-1.3500000000000085,-2.8599999999999994,-4.189999999999998,-5.320000000000007,-6.280000000000001,-7.1200000000000045,-7.900000000000006,-9.299999999999997,,,392529.0,297110.0,108313.0,131418.0,72674.0,59437.0,159364.0,59312.0,78789.0,,,491585.0,155200.0,67966.0,51260.0,30156.0,18774.0,50946.0,18271.0,18628.0,,,Z,F,G,H,J,K,M,N,U,None,None
2021-10-29,83.57,81.78,79.98,78.46,77.25,76.27,75.42,74.63,73.19,,,0.0,-1.789999999999992,-3.589999999999989,-5.109999999999999,-6.319999999999993,-7.299999999999997,-8.149999999999991,-8.939999999999998,-10.379999999999995,,,378537.0,287384.0,109680.0,132885.0,75300.0,62369.0,163126.0,56134.0,78918.0,,,507309.0,173714.0,81904.0,56083.0,23571.0,18648.0,42902.0,12670.0,7294.0,,,Z,F,G,H,J,K,M,N,U,None,None
2021-11-01,84.05,82.45,80.71,79.13,77.84,76.81,75.94,75.15,73.72,73.06,,0.0,-1.5999999999999943,-3.3400000000000034,-4.920000000000002,-6.209999999999994,-7.239999999999995,-8.11,-8.899999999999991,-10.329999999999998,-10.989999999999995,,358147.0,296598.0,116753.0,132369.0,77333.0,60577.0,162640.0,53963.0,80351.0,37617.0,,412309.0,150558.0,76585.0,58625.0,37734.0,35845.0,52513.0,15777.0,12557.0,1266.0,,Z,F,G,H,J,K,M,N,U,V,None
2021-11-02,83.91,82.44,80.88,79.35,78.07,77.0,76.1,75.29,73.85,73.19,,0.0,-1.4699999999999989,-3.030000000000001,-4.560000000000002,-5.840000000000003,-6.909999999999997,-7.810000000000002,-8.61999999999999,-10.060000000000002,-10.719999999999999,,343003.0,295585.0,118952.0,135237.0,81602.0,60554.0,166592.0,54759.0,81716.0,37737.0,,429608.0,147572.0,83039.0,56063.0,32997.0,20795.0,37509.0,9465.0,7840.0,597.0,,Z,F,G,H,J,K,M,N,U,V,None
2021-11-03,80.86,79.57,78.21,76.79,75.6,74.63,73.81,73.06,71.74,71.16,,0.0,-1.2900000000000063,-2.6500000000000057,-4.069999999999993,-5.260000000000005,-6.230000000000004,-7.049999999999997,-7.799999999999997,-9.120000000000005,-9.700000000000003,,331155.0,299081.0,121216.0,139665.0,83955.0,61022.0,171438.0,52426.0,78878.0,37215.0,,546577.0,189152.0,97111.0,65369.0,44464.0,28065.0,67249.0,16272.0,20632.0,2541.0,,Z,F,G,H,J,K,M,N,U,V,None
2021-11-04,78.81,77.7,76.57,75.47,74.49,73.69,72.97,72.33,71.21,70.74,,0.0,-1.1099999999999994,-2.240000000000009,-3.3400000000000034,-4.320000000000007,-5.1200000000000045,-5.840000000000003,-6.480000000000004,-7.6000000000000085,-8.070000000000007,,323592.0,307168.0,127027.0,145282.0,88906.0,61045.0,171221.0,52349.0,77744.0,37721.0,,701119.0,249197.0,119576.0,102652.0,67942.0,40328.0,93135.0,12860.0,44276.0,11226.0,,Z,F,G,H,J,K,M,N,U,V,None
2021-11-05,81.27,80.13,79.0,77.86,76.89,76.04,75.27,74.57,73.36,72.85,,0.0,-1.1400000000000006,-2.269999999999996,-3.4099999999999966,-4.3799999999999955,-5.22999999999999,-6.0,-6.700000000000003,-7.909999999999997,-8.420000000000002,,297245.0,314442.0,131026.0,141816.0,90229.0,55745.0,173857.0,50445.0,79800.0,37821.0,,531054.0,184244.0,87392.0,61392.0,45006.0,35761.0,68860.0,15882.0,28923.0,5076.0,,Z,F,G,H,J,K,M,N,U,V,None
2021-11-08,81.93,80.74,79.57,78.4,77.42,76.54,75.74,75.03,73.81,73.31,,0.0,-1.190000000000012,-2.3600000000000136,-3.530000000000001,-4.510000000000005,-5.390000000000001,-6.190000000000012,-6.900000000000006,-8.120000000000005,-8.620000000000005,,273545.0,315693.0,142469.0,139689.0,93466.0,56408.0,175852.0,49422.0,80907.0,37910.0,,393953.0,165373.0,75800.0,52638.0,35390.0,18758.0,40880.0,12223.0,10408.0,1365.0,,Z,F,G,H,J,K,M,N,U,V,None
2021-11-09,84.15,82.56,81.05,79.66,78.48,77.45,76.55,75.77,74.47,73.91,,0.0,-1.5900000000000034,-3.1000000000000085,-4.490000000000009,-5.670000000000002,-6.700000000000003,-7.6000000000000085,-8.38000000000001,-9.680000000000007,-10.240000000000009,,252071.0,315106.0,145533.0,138785.0,93871.0,56410.0,177946.0,48448.0,82525.0,37988.0,,504832.0,249601.0,127351.0,84765.0,44241.0,23687.0,59283.0,14655.0,9660.0,1173.0,,Z,F,G,H,J,K,M,N,U,V,None
